Target,RMSE,MAE,Bias,Predictions
temperature_min_target_25,3.7628807913116966,2.9075617919520393,0.32831345008537277,"[-1.44412677 -5.5643101  -5.61675483 ...  1.56471489 -2.33045536
  3.29349234]"
temperature_min_target_26,3.738752079660823,2.884175068196748,0.3423793645826069,"[-2.36647977 -6.95994989 -5.7429771  ...  0.14893927 -2.52777334
  4.90025112]"
temperature_min_target_27,3.785150366412508,2.921289066299116,0.22093804398869052,"[-3.5341873  -8.21754048 -7.37139632 ... -1.08682807 -4.02424173
  4.41219686]"
temperature_min_target_28,3.8870777261170524,2.9900580665770327,0.09310847040714532,"[-1.91262291 -7.70585664 -6.35452418 ... -0.99336186 -2.44453551
  2.93374559]"
temperature_min_target_29,4.018879508596964,3.051547669813441,0.06042938303202879,"[-2.73566645 -7.6700892  -5.77053806 ... -1.50847793 -3.11034785
  1.79609545]"
temperature_min_target_30,4.023119190368415,3.0257637749060895,0.14301767608917504,"[-5.21331419 -8.50538761 -8.43572783 ... -1.5475316  -3.69567856
  1.34248444]"
temperature_min_target_31,3.9625167298450488,2.982734992658246,0.12066860772447588,"[ -2.55960025 -10.13036475  -8.2178978  ...  -1.45795668  -2.87371141
   1.61250216]"
temperature_min_target_32,3.9688964637717716,3.0286300386711975,0.16164236006584345,"[-2.95664933 -9.65384309 -8.18461454 ... -2.72997309 -3.7000127
  1.64137749]"
temperature_min_target_33,3.949084158778357,3.047634147304481,0.2277001319378492,"[-2.79390044 -9.2234885  -9.12062695 ... -0.92906907 -2.42246249
  3.37899941]"
temperature_min_target_34,3.911301171668179,3.0061075709835228,0.23816355866799,"[ -2.57890613 -10.56743868  -8.96592697 ...   1.68939194   1.13335069
   4.06553303]"
temperature_min_target_35,3.9160918373225333,3.044111094524439,0.23349253130233494,"[ -5.21796077 -11.7364278  -10.43748425 ...   1.23199755   0.52752176
   3.76486589]"
temperature_mean_target_21,4.087523655911955,3.2009294180349226,0.27748499578709324,"[-3.13316842 -5.67083676 -5.71231766 ...  7.02371248  4.07878975
  9.40839891]"
temperature_mean_target_22,4.104044420372776,3.1937468522710235,0.35020994407979067,"[-0.76214487 -5.64352586 -3.15676777 ...  6.24862368  5.02271146
 10.84237122]"
temperature_mean_target_23,4.076420222341282,3.181385002768732,0.549007168304345,"[ 0.32074746 -3.83739572 -2.73596004 ...  6.07721911  3.42394245
  9.42333249]"
temperature_mean_target_24,4.0454161488381795,3.1527439702840554,0.4455926623360176,"[-0.88232952 -3.08758035 -3.75591919 ...  5.10783845  2.78169337
  8.41191144]"
temperature_mean_target_25,4.058539719049224,3.155947391584496,0.3489382960960746,"[ 1.03925052 -3.2929463  -3.27220807 ...  4.69354561  2.00969136
  7.42024617]"
temperature_mean_target_26,4.034324289586282,3.1319673626550015,0.32312897778095734,"[ 1.30859286 -2.48212239 -1.14842056 ...  2.97937806  0.42886419
  7.58794148]"
temperature_mean_target_27,4.160617011110545,3.2089894748747114,0.2645174637745946,"[ 0.10486295 -4.69235729 -2.41694231 ...  2.1762215   0.86018132
  7.28769772]"
temperature_mean_target_28,4.332762927782627,3.328100985157783,0.15591310766496597,"[ 1.58625576 -2.55598564 -2.23312163 ...  2.07927422  1.38313322
  5.84869833]"
temperature_mean_target_29,4.359007169901313,3.3393699140834876,0.1202135044018958,"[-0.40374268 -2.46873746 -2.74801109 ...  1.25875283 -0.05134558
  4.70707145]"
temperature_mean_target_30,4.370742740975633,3.3375711684945024,0.11184844672529748,"[-0.38313227 -4.1769635  -4.34294895 ...  1.33918228  0.04194342
  4.41393327]"
temperature_mean_target_31,4.324513573987996,3.3081205158496516,0.03232991350857246,"[-0.79397629 -5.6912101  -5.88942629 ...  0.64996929 -0.36282075
  2.44311333]"
temperature_mean_target_32,4.270285019888645,3.240459403669723,0.05907483625068967,"[ 0.32303055 -6.49771894 -6.9759275  ...  1.05995636 -0.00733889
  4.310794  ]"
temperature_mean_target_33,4.28605259089295,3.2831538880865363,0.14336938697068458,"[-0.52955104 -5.59698607 -6.33224723 ...  2.7334995   3.42678072
  5.90113086]"
temperature_mean_target_34,4.251670876795454,3.2838118170595716,0.1902255338088733,"[ 0.65695966 -6.5833256  -5.72641955 ...  4.26419262  4.48584318
  7.10853898]"
temperature_mean_target_35,4.244214369842137,3.327543222667539,0.17026125710608192,"[ 0.15912291 -6.82177078 -7.16860038 ...  4.70978393  4.87103161
  8.00781486]"
