time,station,bewd_i,bewd_i_flag,bewd_ii,bewd_ii_flag,bewd_iii,bewd_iii_flag,bewm_i,bewm_i_flag,bewm_ii,bewm_ii_flag,bewm_iii,bewm_iii_flag,bewm_mittel,bewm_mittel_flag,bft6,bft6_flag,bft8,bft8_flag,cglo_j,cglo_j_flag,dampf_i,dampf_i_flag,dampf_ii,dampf_ii_flag,dampf_iii,dampf_iii_flag,dampf_mittel,dampf_mittel_flag,dd32_i,dd32_i_flag,dd32_ii,dd32_ii_flag,dd32_iii,dd32_iii_flag,erdb_i,erdb_i_flag,erdb_ii,erdb_ii_flag,erdb_iii,erdb_iii_flag,ffx,ffx_flag,gew,gew_flag,glatt,glatt_flag,nebel,nebel_flag,p_i,p_i_flag,p_ii,p_ii_flag,p_iii,p_iii_flag,p_mittel,p_mittel_flag,raureif,raureif_flag,reif,reif_flag,rfb_i,rfb_i_flag,rfb_ii,rfb_ii_flag,rfb_iii,rfb_iii_flag,rfb_mittel,rfb_mittel_flag,rf_i,rf_i_flag,rf_ii,rf_ii_flag,rf_iii,rf_iii_flag,rf_mittel,rf_mittel_flag,rr,rra_manu,rra_manu_flag,rra_manu_i,rra_manu_i_flag,rra_manu_iii,rra_manu_iii_flag,rr_flag,rr_i,rr_i_flag,rr_iii,rr_iii_flag,sh,sha_manu,sha_manu_flag,sh_flag,sh_manu,sh_manu_flag,shneu_manu,shneu_manu_flag,sicht_i,sicht_i_flag,sicht_ii,sicht_ii_flag,sicht_iii,sicht_iii_flag,so_h,so_h_flag,tau,tau_flag,tl_i,tl_i_flag,tl_ii,tl_ii_flag,tl_iii,tl_iii_flag,tlmax,tlmax_flag,tlmin,tlmin_flag,tl_mittel,tl_mittel_flag,tsmin,tsmin_flag,vvbft_i,vvbft_i_flag,vvbft_ii,vvbft_ii_flag,vvbft_iii,vvbft_iii_flag,vv_mittel,vv_mittel_flag,zeitx,zeitx_flag,substation
2016-01-01T00:00+00:00,6,2.0,20,0.0,20,,20,10.0,20,2.0,20,0.0,20,40.0,20,0.0,,0.0,,185.0,20,4.3,20,4.7,20,3.9,20,4.3,20,24.0,20,0.0,20,24.0,20,6.0,20,6.0,20,6.0,20,2.9,20,0.0,,0.0,,0.0,,917.5,20,916.6,20,916.8,20,917.0,20,0.0,,0.0,,,,,,,,,,88,20,81,20,88,20,86,20,-1,0.0,20,0.0,20,0.0,20,20,-1,20,-1,20,,2.0,20,,2.0,20,-1.0,20,8000.0,20,27000.0,20,10000.0,20,0.0,20,0.0,,-3.2,20,-0.8,20,-4.5,20,0.2,20,-5.9,20,-2.9,20,-6.9,20,1.0,20,0.0,20,1.0,20,0.6,20,722.0,20,20002
2016-01-01T00:00+00:00,19,1.0,20,0.0,20,0.0,20,7.0,20,1.0,20,1.0,20,30.0,20,0.0,,0.0,,,20,4.6,20,5.0,20,4.2,20,4.6,20,0.0,20,0.0,20,0.0,20,3.0,20,3.0,20,3.0,20,2.3,20,0.0,,0.0,,0.0,,951.9,20,949.8,20,950.3,20,950.7,20,0.0,,0.0,,,,,,,,,,98,20,83,20,94,20,92,20,-1,0.0,20,0.0,20,0.0,20,20,-1,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,5000.0,20,40000.0,20,3000.0,20,3.3,20,0.0,,-3.7,20,-0.1,20,-4.3,20,1.3,20,-5.0,20,-1.9,20,,20,0.0,20,0.0,20,0.0,20,0.0,20,1049.0,20,19700
2016-01-01T00:00+00:00,1,1.0,20,,20,0.0,20,9.0,20,0.0,20,3.0,20,40.0,20,0.0,,0.0,,560.0,20,4.0,20,3.8,20,4.0,20,3.9,20,0.0,20,20.0,20,32.0,20,3.0,20,1.0,20,3.0,20,7.7,20,0.0,,0.0,,0.0,,933.4,20,932.5,20,932.9,20,932.9,20,0.0,,1.0,,,,,,,,,,89,20,40,20,71,20,67,20,-1,0.0,20,2.0,20,0.0,20,20,0.0,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,4000.0,20,8000.0,20,6000.0,20,5.8,20,0.0,,-4.1,20,6.4,20,-1.0,20,6.5,20,-6.1,20,0.2,20,-8.1,20,0.0,20,2.0,20,1.0,20,1.0,20,1352.0,20,10200
2016-01-01T00:00+00:00,2,2.0,20,2.0,20,2.0,20,10.0,20,8.0,20,6.0,20,80.0,20,0.0,,0.0,,249.0,20,5.1,20,6.5,20,5.6,20,5.7,20,8.0,20,4.0,20,8.0,20,4.0,20,1.0,20,1.0,20,3.4,20,0.0,,1.0,,1.0,,949.1,20,948.5,20,947.9,20,948.5,20,0.0,,1.0,,,,,,,,,,89,20,88,20,95,20,91,20,0.0,1.0,20,1.0,20,1.0,20,20,0.0,20,0.0,20,,0.0,20,,-1.0,20,-1.0,20,8000.0,20,10000.0,20,7000.0,20,0.7,20,0.0,,-0.8,20,2.6,20,-0.5,20,3.2,20,-1.8,20,0.7,20,-2.5,20,1.0,20,1.0,20,1.0,20,1.0,20,1326.0,20,9801
2016-01-01T00:00+00:00,5,2.0,20,2.0,20,2.0,20,9.0,20,9.0,20,9.0,20,90.0,20,0.0,,0.0,,,20,6.1,20,7.0,20,6.6,20,6.6,20,20.0,20,16.0,20,0.0,20,2.0,20,2.0,20,2.0,20,4.0,20,0.0,,0.0,,0.0,,938.5,20,937.9,20,936.9,20,937.8,20,0.0,,0.0,,,,,,,,,,98,20,93,20,97,20,96,20,0.3,1.0,20,1.0,20,1.0,20,20,2.0,20,0.3,20,,0.0,20,,-1.0,20,-1.0,20,200.0,20,500.0,20,200.0,20,0.0,20,0.0,,0.2,20,2.9,20,1.5,20,2.9,20,-0.7,20,1.1,20,,20,1.0,20,1.0,20,0.0,20,0.6,20,2149.0,20,9643
2016-01-01T00:00+00:00,37,2.0,20,1.0,20,1.0,20,10.0,20,10.0,20,9.0,20,97.0,20,0.0,,0.0,,276.0,20,4.2,20,5.6,20,5.8,20,5.2,20,32.0,20,16.0,20,24.0,20,3.0,20,1.0,20,1.0,20,6.9,20,0.0,,0.0,,0.0,,997.4,20,995.5,20,995.4,20,996.1,20,0.0,,0.0,,,,,,,,,,88,20,80,20,86,20,85,20,-1,0.0,20,0.0,20,0.0,20,20,-1,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,5000.0,20,8000.0,20,10000.0,20,0.9,20,0.0,,-3.3,20,2.0,20,1.4,20,2.5,20,-6.2,20,-1.9,20,-8.7,20,1.0,20,2.0,20,3.0,20,2.6,20,2013.0,20,2207
2016-01-01T00:00+00:00,20,,20,,20,,20,,20,,20,,20,,20,,,,,408.0,20,6.3,20,7.3,20,6.2,20,6.6,20,0.0,20,24.0,20,16.0,20,,20,,20,,20,12.4,20,,,,,,,912.2,20,910.1,20,908.4,20,910.2,20,,,,,,,,,,,,,95,20,82,20,82,20,86,20,0.1,,20,,20,,20,20,1.4,20,0.1,20,,,20,,,20,,20,,20,,20,,20,2.3,20,,,1.1,20,5.2,20,2.9,20,5.9,20,0.2,20,3.1,20,,20,0.0,20,1.0,20,2.0,20,1.0,20,2347.0,20,11603
2016-01-01T00:00+00:00,71,2.0,20,2.0,20,,20,10.0,20,4.0,20,0.0,20,47.0,20,0.0,,0.0,,348.0,20,4.3,20,5.6,20,4.7,20,4.9,20,4.0,20,0.0,20,4.0,20,3.0,20,3.0,20,3.0,20,5.4,20,0.0,,0.0,,0.0,,903.3,20,903.0,20,902.9,20,903.1,20,0.0,,1.0,,,,,,,,,,88,20,65,20,82,20,78,20,-1,0.0,20,0.0,20,0.0,20,20,-1,20,-1,20,,0.0,20,,-1.0,20,-1.0,20,20000.0,20,30000.0,20,30000.0,20,2.6,20,0.0,,-3.0,20,4.9,20,-0.8,20,5.4,20,-6.5,20,-0.6,20,-7.5,20,1.0,20,0.0,20,2.0,20,1.0,20,2351.0,20,18805
2016-01-01T00:00+00:00,43,,20,,20,,20,,20,,20,,20,,20,,,,,436.0,20,5.2,20,3.4,20,3.0,20,3.9,20,4.0,20,28.0,20,0.0,20,,20,,20,,20,7.9,20,,,,,,,869.5,20,868.6,20,868.7,20,868.9,20,,,,,,,,,,,,,72,20,36,20,56,20,55,20,0.0,,20,,20,,20,20,0.0,20,0.0,20,,,20,,-1.0,20,,20,,20,,20,,20,3.8,20,,,2.3,20,6.3,20,-1.9,20,7.2,20,-5.4,20,0.9,20,-6.6,20,1.0,20,3.0,20,0.0,20,1.5,20,1341.0,20,15344
2016-01-01T00:00+00:00,15,,20,,20,,20,,20,,20,,20,,20,,,,,181.0,20,8.3,20,8.9,20,8.4,20,8.5,20,16.0,20,0.0,20,16.0,20,,20,,20,,20,4.3,20,,,,,,,975.3,20,972.1,20,969.7,20,972.4,20,,,,,,,,,,,,,99,20,92,20,96,20,96,20,-1,,20,,20,,20,20,1.7,20,-1,20,,,20,,,20,,20,,20,,20,,20,0.4,20,,,4.4,20,6.5,20,5.1,20,6.8,20,3.8,20,5.3,20,4.1,20,1.0,20,0.0,20,1.0,20,0.6,20,618.0,20,11104
