Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit
rr_iii,Niederschlag 12h Summe zum Beobachtungstermin III,"Niederschlag, 12-Stundensumme der Einminutenwerte von 06:01 UTC bis 18:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",mm
rr_iii_flag,Qualitätsflag für Niederschlag 12h Summe zum Beobachtungstermin III,"Qualitätsflag für Niederschlag, 12-Stundensumme der Einminutenwerte von 06:01 UTC bis 18:00 UTC, -1=kein Niederschlag, 0=weniger als 1/10 mm",code
sh,"Gesamtschneehöhe, Schneepegelmessung","Gesamtschneehöhe, aus automatischer Schneepegelmessung, Offset korrigiert, zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm
sha_manu,Schneeart,"Schneeart, aus Erdbodenzustand berechnet zum Beobachtungstermin I (06:00 UTC) - Codeliste={0: kein Schnee, 1: Schneeflecken, 2: durchbrochene Schneedecke, 3: durchgängige Schneedecke, 9: keine Angabe}",code
sha_manu_flag,Qualitätsflag für Schneeart,"Qualitätsflag für Schneeart, aus Erdbodenzustand berechnet zum Beobachtungstermin I (06:00 UTC)",code
sh_flag,"Qualitätsflag für Gesamtschneehöhe, Schneepegelmessung","Qualitätsflag für Gesamtschneehöhe, aus automatischer Schneepegelmessung, Offset korrigiert, zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code
sh_manu,"Gesamtschneehöhe, Handmessung","Gesamtschneehöhe, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm
sh_manu_flag,"Qualitätsflag für Gesamtschneehöhe, Handmessung","Qualitätsflag für Gesamtschneehöhe, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code
shneu_manu,"Neuschneehöhe, Handmessung","Neuschneehöhe, 24-Stundensumme, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",cm
shneu_manu_flag,"Qualitätsflag für Neuschneehöhe, Handmessung","Qualitätsflag für Neuschneehöhe, 24-Stundensumme, Handmessung zum Beobachtungstermin I (06 UTC), -1=kein Schnee",code
sicht_i,Sichtweite zum Beobachtungstermin I,Sichtweite zum Beobachtungstermin I (06 UTC),m
sicht_i_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin I,Qualitätsflag für Sichtweite zum Beobachtungstermin I (06 UTC),code
sicht_ii,Sichtweite zum Beobachtungstermin II,Sichtweite zum Beobachtungstermin II (13 UTC),m
sicht_ii_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin II,Qualitätsflag für Sichtweite zum Beobachtungstermin II (13 UTC),code
sicht_iii,Sichtweite zum Beobachtungstermin III,"Sichtweite zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",m
sicht_iii_flag,Qualitätsflag für Sichtweite zum Beobachtungstermin III,"Qualitätsflag für Sichtweite zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
so_h,Sonnenscheindauer,"Sonnenscheindauer, Summe aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",h
so_h_flag,Qualitätsflag für Sonnenscheindauer,"Qualitätsflag für Sonnenscheindauer, Summe aus den Stundenwerten 0-24 Uhr MOZ (23 Vortag - 23 Tag UTC)",code
tau,Tau Indikator,"Beobachtung von Tau - Codeliste={0: nein, 1: ja}",bool
tau_flag,Qualitätsflag für Tau Indikator,Qualitätsflag für Beobachtung von Tau,code
tl_i,Lufttemperatur 2m zum Beobachtungstermin I,Lufttemperatur in 2m Höhe zum Beobachtungstermin I (06 UTC),°C
tl_i_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin I,Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin I (06 UTC),code
tl_ii,Lufttemperatur 2m zum Beobachtungstermin II,Lufttemperatur in 2m Höhe zum Beobachtungstermin II (13 UTC),°C
tl_ii_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin II,Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin II (13 UTC),code
tl_iii,Lufttemperatur 2m zum Beobachtungstermin III,"Lufttemperatur in 2m Höhe zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",°C
tl_iii_flag,Qualitätsflag für Lufttemperatur 2m zum Beobachtungstermin III,"Qualitätsflag für Lufttemperatur in 2m Höhe zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
tlmax,Lufttemperatur 2m Maximalwert,"Lufttemperatur in 2m Höhe, Maximum der Zehnminutenwerte (tlmax) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",°C
tlmax_flag,Qualitätsflag für Lufttemperatur 2m Maximalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Maximum der Zehnminutenwerte (tlmax) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",code
tlmin,Lufttemperatur 2m Minimalwert,"Lufttemperatur in 2m Höhe, Minimum der Zehnminutenwerte (tlmin) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",°C
tlmin_flag,Qualitätsflag für Lufttemperatur 2m Minimalwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Minimum der Zehnminutenwerte (tlmin) von 18:10 UTC Vortag - 18:00 UTC aktueller Tag",code
tl_mittel,Lufttemperatur 2m Mittelwert,"Lufttemperatur in 2m Höhe, Mittelwert berechnet aus (tlmax + tlmin)/2",°C
tl_mittel_flag,Qualitätsflag für Lufttemperatur 2m Mittelwert,"Qualitätsflag für Lufttemperatur in 2m Höhe, Mittelwert berechnet aus (tlmax + tlmin)/2",code
tsmin,Lufttemperatur 5cm Nachtminimum (18 UTC Vortag bis 6 UTC),"Lufttemperatur in 5cm Höhe,  Minimalwert in der Nacht: 18:10 UTC Vortag  - 06:00 UTC aktueller Tag",°C
tsmin_flag,Qualitätsflag für Lufttemperatur 5cm Nachtminimum (18 UTC Vortag bis 6 UTC),"Qualitätsflag für Lufttemperatur in 5cm Höhe,  Minimalwert in der Nacht: 18:10 UTC Vortag  - 06:00 UTC aktueller Tag",code
vvbft_i,Windstärke zum Beobachtungstermin I,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)",Beaufort
vvbft_i_flag,Qualitätsflag für Windstärke zum Beobachtungstermin I,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin I (06 UTC)",code
vvbft_ii,Windstärke zum Beobachtungstermin II,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)",Beaufort
vvbft_ii_flag,Qualitätsflag für Windstärke zum Beobachtungstermin II,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin II (13 UTC)",code
vvbft_iii,Windstärke zum Beobachtungstermin III,"Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",Beaufort
vvbft_iii_flag,Qualitätsflag für Windstärke zum Beobachtungstermin III,"Qualitätsflag für Windstärke in Beaufort, aus dem Stundenwert zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code
vv_mittel,Windgeschwindigkeit Mittelwert,"Windgeschwindigkeit, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",m/s
vv_mittel_flag,Qualitätsflag für Windgeschwindigkeit Mittelwert,"Qualitätsflag für Windgeschwindigkeit, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code
zeitx,Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Zeitpunkt der maximalen Windgeschwindigkeit, aus den Stundenwerten 0-24 Uhr MOZ (23 UTC Vortag - 23 Tag UTC)",hhmm
zeitx_flag,Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit (Spitzenböe),"Qualitätsflag für Zeitpunkt der maximalen Windgeschwindigkeit, aus den Stundenwerten 0-24 Uhr MOZ (23 UTC Vortag - 23 Tag UTC)",code
